Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2016,"12        ",Male,17,Right-Handed,175,29,159,1,Car,10,,,"Football (American)",300,300,600,780,500,900,29,"Same length",60,70,"Ring finger",September,Fall,No,No,"No favorite",Water,"Physical education",5,7,5,"Yes - other","In person",100,150,3,0,1,1,0,0,5,13,14,1,0,1,"A lot","Some college","Rock and roll",Fly,Happy,Other,"International aid"
USA,TX,2013,"5         ",Male,11,Right-Handed,140,24,148,2,Bus,30,0.759,,Soccer,,,,,,,24,"Same length",80,90,"Same length",July,Summer,No,No,"No favorite",Water,"Physical education",8,7,12,"Yes - other","In person",0,0,7,3,1,1,2,3,1,1,1,5,1,1,Some,Other,"Rap/Hip hop",Invisibility,Famous,Relative,"International aid"
USA,TX,2019,"12        ",Male,17,Right-Handed,5'11,,,,,,,,,,,,,,,28,"Same length",3,3.5,"Ring finger",February,Summer,No,No,Meat,Water,"Mathematics and statistics",7,10,5,"Yes - broadband connection","In person",27,28,7,5,3,5,30,0,3,10,5,0,6,2,None,"Graduate degree","Rap/Hip hop","Super strength",Happy,"Religious figure","International aid"
USA,TX,2015,"12        ",Male,17,Right-Handed,177.8,27.94,191.7,1,Bus,20,0.821,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2014,"12        ",Female,18,Right-Handed,167,24,73,2,Car,12,.37,32,Soccer,500,500,500,800,600,500,23.5,"Right foot",90,92,"Ring finger",May,Spring,Yes,No,Desserts,Milk,Art,6.5,8,3,"Yes - broadband connection","In person",150,100,10,0,15,35,10,0,0,84,20,14,5,6,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,Religious
USA,TX,2019,"12        ",Female,17,Right-Handed,171cm,29cm,161cm,1,Car,"15 mi",".337 ",45,Other,754,818,711,610,1000,1000,29,"Same length",65,70,"Ring finger",May,Fall,Yes,No,Seafood,Water,History,6,12,6,"Yes - broadband connection","Text messaging",100,200,10,70,4,5,0,0,30,50,2,5,10,3,Some,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Rich,Relative,Health
USA,TX,2011,"12        ",Female,17,Right-Handed,167,22,173,2,Bus,20,.296,37,Soccer,600,400,700,,1000,1000,22,"Same length",70,80,"Ring finger",April,Spring,Yes,No,"Rice/Noodle dishes",Water,Art,4,10,5,"Yes - other","Text messaging",2,3,8,4,6,9,6,1,20,24,20,4,0,6,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,"Wildlife, animals"
USA,TX,2021,"6         ",Male,12,Right-Handed,167.6,26.67,162.5,2,Bus,9,0.374,49,Soccer,1000,900,100,1000,0,900,28,"Left foot",6,7,"Ring finger",September,Winter,No,No,Meat,Water,"Mathematics and statistics",8,10,6,"Yes - other","In person",0,0,8,0,6,4,8,7,9,0,8,2,0,6,"Very little","Graduate degree",Other,"Freeze time",Happy,Relative,"Education/Youth development"
USA,TX,2013,"5         ",Female,10,Right-Handed,146,21,16,2,Car,5,0.33,44,Soccer,500,1000,1000,1000,0,0,21,"Same length",8,8,"Same length",June,Summer,Yes,No,Pizza/Pasta,Juice,Science,10,12,3,"Yes - dial-up connection","Text messaging",0,0,2,0,1,4,1,5,2,0,6,2,0,0,"A lot","Some college","Heavy metal","Super strength",Happy,Actor,"International aid"
USA,TX,2024,"12        ",Female,17,Right-Handed,180.3,30.48,157,1,Bus,30,.594,57,Bowling,722,492,631,743,241,765,30.26,"Same length",,,"Same length",July,Fall,No,No,Seafood,Water,Art,6.5,10,5,"Yes - other",,27,32,40,5,2,25,1,10,40,25,10,0,0,3,Some,"Graduate degree","Rhythm and blues (R&B)",Invisibility,Rich,Relative,"Education/Youth development"
