Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OH,2023,"7         ",Female,13,Right-Handed,168,25,168,1,Walk,15,0.30,35,Dancing,898,898,1000,1000,597,1000,25,"Same length",19,70,"Ring finger",December,Fall,Yes,No,Other,"Sports drink",English,5,12,4,"Yes - other","Text messaging",20,25,140,2,25,150,130,4,100,80,150,90,10,30,"A lot","Graduate degree",Pop,Invisibility,Rich,Other,"Wildlife, animals"
USA,OH,2022,"7         ",Female,12,Right-Handed,65,19,24,1,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OH,2020,"8         ",Male,12,Right-Handed,152,25,158,2,Car,5,0.377,44,Swimming,824,834,1000,802,230,224,25,"Same length",70,75,"Ring finger",January,Fall,Yes,No,Meat,Water,"Physical education",9,11,4,"Yes - broadband connection","Text messaging",10,100,42,1,5,24,21,8,1,1,10,8,0,0,Some,"Graduate degree","Rhythm and blues (R&B)","Super strength",Happy,"Sports person","International aid"
USA,OH,2012,"7         ",Male,12,Right-Handed,68,28,70,3,Car,5,2,8,"Football (American)",1000,1000,1000,1000,100,500,28,"Right foot",6,6,"Same length",December,Fall,No,No,Fruit,Water,"Social studies",8,4,5,"Yes - other","Text messaging",100,150,10,2,8,48,10,1,8,20,7,4,0,2,"A lot",,,,Healthy,"Sports person",Health
USA,OH,2022,"6         ",Male,12,Right-Handed,161,26,165,1,Bus,10,0.434,42,"Football (American)",198,1000,519,684,27,187,27,,90,100,"Ring finger",March,Summer,No,No,Pizza/Pasta,Water,"Physical education",8,4,7,"Yes - other","Text messaging",70,70,5,4,1,5,5,3,4,1,2,1,1,1,Some,"Graduate degree",Pop,"Freeze time",Healthy,"Sports person",Health
USA,OH,2022,"7         ",Female," 13",Right-Handed,59,25,62,"1 1/2",Bus,"20 ",0.583,50,Other,508,674,556,508,556,444,26,"Left foot",40,50,"Ring finger",May,Summer,Yes,No,"No favorite",,"Social studies",5,8,4,"Yes - broadband connection","Internet chat or instant messaging",50,10,1/2,3,1/3,1/3,n/a,1,1/2,1/2,1,2,no,no,"A lot","Graduate degree","Rap/Hip hop","Super strength",Famous,Other,Health
USA,OH,2013,"9         ",Male,15,Right-Handed,72,12,12,1,Bus,25,2,5,"Football (American)",3,4,5,6,1,2,5,"Same length",,,"Same length",March,Spring,Yes,No,Meat,Water,English,6,4,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",4,5,5,0,0,4,5,2,3,1,2,3,2,1,"A lot","Graduate degree","Rap/Hip hop","Super strength",Rich,"Sports person","Education/Youth development"
USA,OH,2022,"12        ",Male,17,Right-Handed,175,25,200,1,Car,8,.652,64,Other,0,200,1000,1000,0,1000,25,"Same length",85,87,"Ring finger",June,Summer,No,No,Seafood,"Energy drink","Social studies",5.5,12,2,"Yes - other",,40,60,30,7,3,2,7,0,150,168,160,10,24,3,"A lot","High school","Rap/Hip hop",Telepathy,Happy,"Sports person",Health
USA,OH,2011,"6         ",Female,12,Right-Handed,142,21,145,1,Bus,15,1.406,44,Basketball,900,700,700,,30,20,21,"Same length",70,70,"Same length",August,Summer,No,No,Breads/Sandwiches,"Powdered drink",Languages,9,11,6,"Yes - broadband connection","In person",0,0,1,1,2,6,8,1,0,1,1,3,0,1,None,"Graduate degree",Pop,Fly,Healthy,Relative,"Wildlife, animals"
USA,OH,2015,"8         ",Female,14,Right-Handed,175,26,173,2,Bus,56,.495,38,Other,209,572,888,722,406,1000,26,"Same length",75,70,"Index finger",September,Fall,No,No,"No favorite",Water,Art,4,8,5,"Yes - broadband connection",Telephone,10,8,10,0,3,48,6,48,2,1,48,0,0,2,"A lot","Graduate degree","Punk rock",Invisibility,Rich,"Musician or singer","Wildlife, animals"
USA,OH,2012,"7         ",Male,12,Right-Handed,150,24,150,2,Bus,100,.297,23,Soccer,652,439,743,791,294,492,24,"Same length",7.5,7.5,"Same length",February,Summer,No,No,"Rice/Noodle dishes",Water,Art,8,12,5,"Yes - broadband connection",E-mail,0,0,70,2,10,5,40,30,20,4,50,2,.5,4,"A lot","Graduate degree",,"Freeze time",Healthy,Other,"Wildlife, animals"
USA,OH,2018,"12        ",Female,17,Right-Handed,163,23,167,1,Car,5,.404,33,Swimming,524,529,642,631,123,628,23,"Same length",70,70,"Same length",June,Fall,Yes,No,Meat,Water,"Social studies",7,7,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",200,200,35,10,15,120,25,0,80,95,10,0,30,70,"Very little","Graduate degree",Country,"Freeze time",Happy,Relative,"Education/Youth development"
USA,OH,2014,"12        ",Male,16,Left-Handed,177,25,182,2,Car,12,.353,47,"Hockey (Ice)",209,294,417,166,599,743,26,"Left foot",100,102,"Ring finger",March,Summer,No,No,Meat,Milk,English,6,9,3,"Yes - broadband connection","Text messaging",50,55,5,0,30,10,14,2,3,7,7,4,0,5,Some,"Graduate degree",Country,Invisibility,Rich,"Sports person","Education/Youth development"
USA,OH,2011,"4         ",Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OH,2020,"11        ",Female,16,Right-Handed,64,23,163,1,Car,10-15,0.356,37,Walking/Hiking,,,,,,,,,,,,September,Summer,No,No,Pizza/Pasta,Tea,"Social studies",5,,3,"Yes - broadband connection","Text messaging",,,,,,,,,,,,,,,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Rich,"Business person","International aid"
USA,OH,2018,"12        ",Female,18,Right-Handed,79,24.5,81,2,Car,10,.447,41,Other,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
