Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,AK,2021,"11        ",Female,16,Right-Handed,69,27,,1,Bus,"8 min",0.347,49,Basketball,914,914,813,273,155,155,27,"Same length",75,80,"Ring finger",July,Summer,Yes,No,Fruit,"Soft drink (non-caffeinated)",English,7-8,3,4-5,"Yes - broadband connection","Text messaging",60,40,15,10,10,7,15,0,0,13,9,5,8-12,7,Some,"Some college",Country,Telepathy,Happy,Relative,Health
USA,AK,2022,"11        ",Male,17,Right-Handed,181,27,172,1,Car,13,.642,43,Other,600,800,900,850,500,720,27,"Same length",80,80,"Ring finger",September,Winter,No,No,Pizza/Pasta,"Soft drink (caffeinated)",Music,8,10,7,"Yes - other","Text messaging",39,60,9,1,0,1,1,1,4,2,2,1,1,1,"A lot","Graduate degree","Rap/Hip hop","Super strength",Happy,Relative,"Arts, culture, sports"
USA,AK,2021,"11        ",Male,16,Right-Handed,162,8,0,1,Bus,12,.7,24,Other,0,126,254,473,937,1000,9,"Left foot",8,9,"Ring finger",December,Winter,No,No,"Rice/Noodle dishes",Water,"Computers and technology",9,12,3,"Yes - broadband connection","Text messaging",50,40,8,0,0,1,0,50,0,20,70,0,0,2,Some,"High school",Other,"Freeze time",Rich,Relative,Other
USA,AK,2021,"11        ",Female,15,Left-Handed,157,24,20,2,Car,5,0.396,52,"Martial Arts",800,900,1000,700,500,600,2,"Same length",8,5,"Index finger",October,Spring,Yes,No,Fruit,Water,Music,7,9,8,"Yes - broadband connection","In person",32,20,,,,,,,,,,,,,Some,"Graduate degree",Pop,"Freeze time",Rich,Actor,Health
USA,AK,2016,"12        ",Female,17,Left-Handed,166,25,162,1,Car,7,0.552,38,Soccer,1000,800,900,700,0,100,24,"Right foot",9,9,"Same length",October,Fall,Yes,No,"No favorite",Water,"Physical education",7,9,4,"Yes - other","Text messaging",20,20,5,1,2,5,20,10,1,3,4,8,30,10,Some,"Graduate degree",Pop,"Freeze time",Happy,"Sports person","Wildlife, animals"
USA,AK,2023,"12        ",Female,17,Right-Handed,157,25,162,2,Car,7,0.316,34,Other,900,900,800,600,1000,1000,25,"Same length",100,110,"Ring finger",July,Fall,No,No,"Rice/Noodle dishes",Coffee,"Mathematics and statistics",5,10,6,"Yes - broadband connection","In person",200,175,30,2,6,3,1,0,14,5,30,0,25,6,"A lot","Graduate degree","Rhythm and blues (R&B)",Telepathy,Rich,Relative,"Education/Youth development"
USA,AK,2021,"11        ",Male,16,Left-Handed,188,28,178,1,Bus,15," 0.3",31,Swimming,867,942,236,345,789,967,27,"Right foot",78,85,"Index finger",September,Fall,No,No,Meat,"Soft drink (non-caffeinated)",English,5-7,6-8,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,1,6,2,0,2,4,20+,20+,1/2,20+,0,0,4,Some,"Some college","Punk rock",Telepathy,Happy,Friend,"Education/Youth development"
USA,AK,2020,"12        ",Male,17,Left-Handed,168,20,164,"1 ",Bus,10,"4 ",1:30,None,200,300,100,400,600,500,20,"Same length","9 cm","10 cm","Same length",March,Summer,No,No,Breads/Sandwiches,Water,Other,"8 ",idk,"3 ","Yes - other",Other,5,20,10,50,10,10,10,5,3,30,4,0,30,4,Some,"High school",Other,Telepathy,Happy,Other,"Arts, culture, sports"
USA,AK,2023,"12        ",Female,18,Right-Handed,5'5,,,2,Car,5min,,,Bowling,900,800,1000,600,400,1000,25.1,"Same length",,,"Index finger",October,Summer,No,No,Pizza/Pasta,"Energy drink","Computers and technology",5,8,6,"Yes - broadband connection","Cell phone",15,27,30,70,20,50,39,24,19,90,95,15,40,25,"Very little","Graduate degree","Rap/Hip hop","Super strength",Rich,Other,"Arts, culture, sports"
USA,AK,2021,"11        ",Female,16,Left-Handed,"180 ",335,,1,Car,10,1.3,44,Swimming,,,,,,,335,"Same length",80,90,"Ring finger",February,Fall,Yes,No,Pizza/Pasta,Tea,History,8-9,8,4,"Yes - broadband connection","Text messaging",20,23,4,1,6,3,8,0,7,2,6,1,6,2,"A lot","Graduate degree","Rock and roll",Fly,Happy,Actor,Environment
USA,AK,2024,"12        ",Male,15,Right-Handed,173,25,175,1,Car,5,0.436,63,Cycling,4,3,6,2,5,1,24.5,"Right foot",80,72.5,"Ring finger",February,Summer,Yes,No,Meat,Water,"Mathematics and statistics",6,9,4,"Yes - other","Text messaging",100,100,10,2,6,5,1,20,40,10,2,1,0,7,Some,"High school","Rap/Hip hop","Super strength",Rich,Relative,"Wildlife, animals"
USA,AK,2023,"12        ",Female,17,Right-Handed,152,23.2,145,2,Car,20,0.918,67,None,1000,1000,1000,1000,0,0,23.1,"Right foot",73,99,"Ring finger",October,Summer,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",5,10,3,"Yes - other","Internet chat or instant messaging",300,375,0,4,2,2,0,2,16,8,2,2,10,0,Some,"Some college","Rap/Hip hop",Telepathy,Rich,Relative,Environment
USA,AK,2023,"12        ",Male,17,Right-Handed,182,30,91,1,Car,5,0.308,30,Bowling,,,,,,,30,"Same length",101,105,"Ring finger",September,Fall,No,No,"No favorite",Water,History,12,4,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",6,7,4,0,2,6,3,20,12,5,20,1,10,0,Some,"High school","Rock and roll","Freeze time",Happy,Relative,Environment
USA,AK,2018,"12        ",Female,17,Right-Handed,146,21,146,2,Bus,20,1.7,110,Soccer,1000,1000,1000,1000,500,1000,21,"Same length",70,70,"Same length",June,Fall,No,No,"Rice/Noodle dishes",,History,7,11,10,"Yes - other","In person",11,50,20,1,45,21,22,49,14,7,50,7,0,15,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,"International aid"
USA,AK,2023,"12        ",Female,17,Right-Handed,160.0,228,158,2,Walk,15,0.728,54,Running/Jogging,70,70,50,50,10,70,223,"Right foot",88,89,"Ring finger",November,Summer,No,Yes,Pizza/Pasta,Water,Art,5,9,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",28,29,11,2,9,1,5,0,7,1,7,3,0,1,Some,"Graduate degree",Pop,Telepathy,Rich,Relative,"Wildlife, animals"
USA,AK,2022,"10        ",Female,17,Right-Handed,5'3,7.5-8,59,2,Bus,10,1.283,61,Swimming,791,588,914,914,21,1000,27,"Same length",110,80,"Ring finger",June,Summer,No,No,Other,Water,Other,5,10,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",50,20,13,18,5,5,2,1,20,25,15,16,20,5,"A lot","Some college",Other,Telepathy,Rich,Relative,"Arts, culture, sports"
USA,AK,2024,"12        ",Female,17,Right-Handed,139,21,143,2,Car,10,.35,40,Dancing,888,754,845,695,16,86,21,,80,90,"Ring finger",June,Summer,No,No,Soups,"Sports drink","Mathematics and statistics",6,10,3,"Yes - broadband connection","Internet chat or instant messaging",20,50,10,40,10,20,5,35,5,5,45,0,0,10,Some,"Some college",Pop,"Freeze time",Rich,Friend,Health
